pca_incidence,pca_mortality,death_other_causes
0.00023587360852924435,1.1426162278283702e-05,0.002492036820465353
0.00020574802710824296,5.725538295804727e-06,0.0025484984887512207
0.00022735732983016033,3.3072997640269654e-06,0.0026762890699681715
0.00029737043280916197,4.1345851601747265e-06,0.0028717284687140173
0.0004124562521594133,8.17053296147232e-06,0.003131136589586566
0.0005692837039950799,1.5378281645144053e-05,0.003450833337183627
0.000764521704430327,2.5720969688414256e-05,0.0038271386161030114
0.0009948391695793204,3.9161735568507214e-05,0.0042563723309425264
0.001256905015556225,5.566371776264726e-05,0.0047348543862999835
0.0015473881584752072,7.519005474805868e-05,0.005258904686773192
0.0018210728391499817,9.969784183874061e-05,0.00582484313695996
0.0021508132938377945,0.00012568198673631933,0.0064289896414581
0.0024985635679631176,0.0001546393665552698,0.007067664104865418
0.0028610674700441973,0.0001865323674968413,0.007737186431779725
0.0032350688085992806,0.00022132337576228318,0.008433876526798832
0.0036173113921466097,0.0002589747775528447,0.009154054294520545
0.004004539029204434,0.000299716362206562,0.009899606872224026
0.0043934955282909985,0.00034484753160861825,0.010694690327913831
0.0047809246979245495,0.0003959350907809833,0.011569027962275859
0.00516357034662333,0.0004545458447456273,0.01255234307599602
0.0055381762829055875,0.0005222465985245203,0.013674358969760218
0.0059022098516641145,0.0006006041571396321,0.014964798944254357
0.00625603254328988,0.0006911853256129332,0.016453386300164345
0.0066007293845484006,0.0007955569089663927,0.01816984433817608
0.00693738540220519,0.0009152857122219814,0.020143896358975465
0.007267085623025769,0.001051938540401669,0.02240526566324842
0.0075854180390781635,0.0012070821985274258,0.024983675551680837
0.007865982503640456,0.0013822834916212212,0.027908849324958622
0.00807688183529324,0.0015791092247050256,0.03121051028376768
0.008186218852617111,0.0017991262028008088,0.034918381728793926
0.008162096374192664,0.0020439012309305406,0.039062186960723236
0.007988358836569398,0.0023159458293233823,0.04368728941427603
0.0077118171481724285,0.0026215503790372506,0.04890161306031055
0.0073950238353957835,0.002967949976337256,0.05482872200371958
0.007100531424633476,0.0033623797174885065,0.061592180349395856
0.006890892442279532,0.0038120746987561124,0.06931555220223215
0.006812288450238442,0.004324270016405182,0.07812240166712124
0.0068454171524565755,0.004906200766700823,0.08813629284895583
0.006954605288390768,0.005565102045908144,0.09948078985262869
0.007104179597497859,0.006308208950292258,0.11227945678303261
0.0072584668192346834,0.007142756576118268,0.12665585774506027
0.007381793693058076,0.008074411218491296,0.14305933672207238
0.0074384869584248805,0.0091025639678765,0.1632423572113009
0.007392873354791931,0.01022503711357904,0.18928316258844557
0.007209279621616064,0.011439652944904087,0.2232599962292063
