,localised,advanced
chemo_only,0.0035684950151103163,0.02259896169775438
prostatectomy_only,0.18504160670875675,0.10467297259822776
radiotherapy_only,0.2808440626006726,0.368532848154448
chemo_radio,0.005055671957657022,0.029082885817483226
prostatectomy_chemo,0.0004683801717124327,0.0005818682871962471
prostatectomy_radio,0.005918240664725791,0.023303835462432695
chemo_prostatectomy_radio,8.424599831508002e-05,0.00029120870939607454
active_surveillance,0.162,0.0
adt,0.39,0.465
brachytherapy,0.03,0.03
